frame_len;vlan_id;ip_len;ip_flags_df;ip_ttl;x_ws_expert_severity;tcp_srcport;tcp_dstport;tcp_len;tcp_hdr_len;tcp_window_size_value;tcp_pdu_size;x104apci_apdulen;x104apci_tx;x104apci_rx;x104asdu_typeid;x104asdu_causetx;attack
60;NaN;44;0;37;2097152;58309;17730;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;51;2097152;47232;47521;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;43;2097152;56968;24111;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;49;2097152;58309;13056;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;58;2097152;47232;22855;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;44;2097152;58309;58414;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;48;2097152;58309;51901;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;59;2097152;47232;16415;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;45;2097152;56968;44256;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;48;2097152;56967;64092;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;56;2097152;47233;34287;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;57;2097152;58308;52822;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;45;2097152;56967;31938;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;40;2097152;47233;36342;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;46;2097152;58308;42235;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;39;2097152;47233;11842;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
